COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
36103,501,0,0.00001421,0,0.000001432
72001,601,1,1,1,1
72113,601,0.01512949,0.013157895,0.009887006,0.014833798
72003,602,1,1,1,1
72005,602,0,0.000585823,0,0.000036333
72005,603,0.709332277,0.63678969,0.970740103,0.710351343
72071,603,0.00026441,0,0,0.000243677
72005,604,0.027858134,0.077328647,0.003442341,0.030410929
72005,605,0.150544878,0.199765671,0.005163511,0.150528649
72093,606,1,1,1,1
72011,610,0.999484217,1,1,0.99951602
72141,611,0.063487332,0.031019202,0.016528926,0.060940808
72013,612,0.59208938,0.789996794,0.965568862,0.612377698
72054,612,0.013131313,0.00625,0,0.01286299
72065,612,0.000436567,0,0,0.000402576
72141,612,0.002185792,0.001477105,0.016528926,0.00230139
72013,613,0.077539489,0.081436358,0.005988024,0.07670521
72013,614,0.069063824,0.081436358,0.002994012,0.068934039
72013,616,0.091511494,0.00577108,0.010479042,0.083984832
72017,617,0.997602608,1,1,0.997763664
72054,617,0.066666667,0.00625,0,0.064509842
72023,622,0.156244862,0.007383966,0.036649215,0.147787063
72023,623,0.843755138,0.991561181,0.963350785,0.852161354
72097,623,0.000335787,0,0,0.000291434
72059,624,0,0.028368794,0,0.00098268
72111,624,1,1,1,1
72113,624,0.000112907,0,0,0.000100996
72027,627,1,1,1,1
72081,631,0,0,0.029411765,0.000245459
72121,637,0.998266191,1,1,0.99837445
72039,638,1,1,1,1
72107,638,0.001630656,0.011627907,0,0.002512563
72113,641,0.003838826,0.000481386,0.02259887,0.004077716
72141,641,0.934326875,0.967503693,0.966942149,0.936757802
72051,646,0.965482641,1,1,0.967798303
72135,646,0.006242367,0.003039514,0,0.006128524
72137,646,0.000490998,0.003006615,0,0.000616732
72055,647,0.370089667,0.237196765,0.25210084,0.363664029
72121,647,0.000917899,0,0,0.000860585
72013,650,0.018646462,0.000320616,0.005988024,0.017110622
72017,650,0.002397392,0,0,0.002236336
72054,650,0.92020202,0.9875,1,0.922627168
72091,650,0.001550121,0,0,0.001392327
72013,652,0.051727238,0.004168003,0.002994012,0.047493095
72055,653,0.629910333,0.762803235,0.74789916,0.636335971
72153,653,0.001785494,0,0,0.001646698
72059,656,1,0.971631206,1,0.99901732
72013,659,0.000205471,0,0,0.000187257
72065,659,0.999563433,1,1,0.999597424
72067,660,1,1,1,1
72097,660,0.000154979,0.000224316,0,0.000156926
72071,662,0.992808038,1,1,0.993371997
72115,662,0.00224434,0.001692047,0,0.002186788
72073,664,1,1,1,1
72079,667,1,1,1,1
72081,669,1,1,0.970588235,0.999754541
72083,670,1,1,1,1
72091,674,0.974968423,0.999418942,1,0.977464934
72145,674,0.003707433,0.019946809,0.021008403,0.004917338
72099,676,1,1,1,1
72011,677,0.000515783,0,0,0.00048398
72117,677,1,1,1,1
72115,678,0.99775566,0.998307953,1,0.997813212
72023,680,0,0.001054852,0,0.000051584
72097,680,0.537207801,0.582772544,0.718270572,0.547582218
72097,681,0.098359809,0.143562135,0.00348675,0.099827381
72097,682,0.352938138,0.273216689,0.276847978,0.342524716
72097,683,0.011003487,0.000224316,0.0013947,0.009617325
72125,683,1,1,1,1
72131,685,1,1,1,1
72091,687,0.013893673,0.000581058,0,0.012530941
72101,687,0.933875063,0.983372922,1,0.93636979
72143,687,0.00033206,0,0,0.000307574
72145,687,0.000457708,0,0,0.000423908
72013,688,0.099216643,0.036870792,0.005988024,0.093207247
72005,690,0.112264712,0.08553017,0.020654045,0.108672746
72071,690,0.006927552,0,0,0.006384327
72101,692,0.00091417,0,0,0.000870322
72143,692,0.99966794,1,1,0.999692426
72091,693,0.009587783,0,0,0.008611799
72145,693,0.861451849,0.870345745,0.970588235,0.863119966
72145,694,0.13438301,0.109707447,0.008403361,0.131538788
72121,698,0.00081591,0,0,0.000764965
72153,698,0.998214506,1,1,0.998353302
72007,703,1,1,1,1
72025,703,0.000508331,0.001184553,0,0.000548358
72123,704,0.343641502,0.118780096,0.010752688,0.330585451
72009,705,1,1,0.987179487,0.999883626
72035,705,0.000447603,0.00248139,0,0.000570539
72043,705,0.000716076,0,0,0.000664894
72095,707,1,1,1,1
72015,714,1,1,1,1
72113,715,0.021762755,0.043164313,0.003766478,0.022963982
72113,716,0.189457342,0.225288832,0.285781544,0.1948593
72113,717,0.124366664,0.264922978,0.246704331,0.138705483
72103,718,0.913176819,0.948051948,0.945454545,0.914713015
72105,719,1,1,1,1
72127,719,0.000089737,0,0,0.00007551
72075,720,0.001222079,0,0,0.00116437
