fips,total_pop_2000,white_2000,black_2000,asian_2000,latino_2000
1001,43671,34760,7450,265,394
1003,140415,120916,14134,535,2341
1005,29038,14788,13399,30,509
1007,20826,15867,4602,12,181
1009,51024,47135,555,114,2629
1011,11714,2795,8443,10,359
1013,21399,12421,8754,52,118
1015,112249,87679,20379,665,1912
1017,36583,22112,13955,10,274
1019,23988,22229,1273,34,232
1021,39593,33867,4160,58,1016
1023,15922,8698,6938,12,144
1025,27867,15584,11888,88,173
1027,14254,11588,2299,4,207
1029,14123,13217,513,0,160
1031,43615,33109,8077,356,1131
1033,54984,44558,9231,124,539
1035,14089,7772,6165,18,66
1037,12202,7768,4286,0,44
1039,37631,32198,4521,52,382
1041,13665,10020,3465,0,107
1043,77483,73763,772,185,1576
1045,49129,35744,9994,496,1594
1047,46365,16376,29274,117,231
1049,64452,58485,1027,106,3449
1051,65874,50383,13573,224,745
1053,38440,24538,11665,110,405
1055,103459,85000,14645,354,1651
1057,18495,16001,2225,72,96
1059,31223,27316,1292,65,2238
1061,25764,22203,2935,30,319
1063,9974,1853,8035,5,56
1065,17185,6796,10124,11,127
1067,16310,10716,5173,0,312
1069,88787,64683,21530,500,982
1071,53926,49216,2113,99,619
1073,662047,379986,258307,5770,10486
1075,15904,13768,1839,38,131
1077,87966,77119,8729,290,819
1079,34803,26899,4592,55,230
1081,115092,84196,25577,1823,1944
1083,65676,54160,8808,308,1452
1085,13473,3476,9844,0,109
1087,24105,3303,20301,150,164
1089,276700,196392,61831,4698,5486
1091,22539,10570,11582,0,203
1093,31214,29444,1076,119,350
1095,82231,75675,942,240,4181
1097,399843,249878,133050,5222,4414
1099,24324,13926,9775,51,107
1101,223510,108028,108449,1751,2477
1103,111064,92338,12236,571,3621
1105,11861,3639,7968,9,149
1107,20949,11759,8965,20,82
1109,29605,17812,10803,191,303
1111,22380,16940,4709,45,403
1113,49756,27689,20031,282,736
1115,64742,57996,5489,100,424
1117,143293,127048,10702,997,2882
1119,14798,3808,10729,20,174
1121,80321,53365,25359,264,597
1123,41475,30388,10567,45,162
1125,164875,111273,47774,1533,2062
1127,70713,64690,4439,130,668
1129,18097,11697,4936,43,88
1131,13183,3602,9513,10,27
1133,24843,24021,80,56,378
2013,2697,518,31,711,334
2016,5465,2059,122,1381,582
2020,260283,181919,14498,14068,14738
2050,16006,1935,124,178,172
2060,1258,659,13,7,12
2068,1893,1606,24,28,56
2070,4922,1035,6,33,107
2090,82840,63018,4838,1957,3486
2100,2392,1950,5,18,31
2110,30711,22501,235,1396,972
2122,49691,42290,184,439,1051
2130,14070,10250,60,755,312
2150,13913,7950,89,2358,849
2164,1823,347,0,8,20
2170,59322,51135,562,385,1476
2180,9196,1738,34,53,122
2185,7385,1239,58,442,169
2188,7208,874,22,61,70
2201,6146,3196,16,17,115
2220,8835,5876,31,352,289
2232,3436,1973,8,7,136
2240,6174,4817,116,34,179
2261,10195,7596,30,369,283
2270,7028,343,7,3,29
2280,6684,4843,4,122,106
2282,808,398,2,11,6
2290,6551,1595,5,6,63
4001,69423,12126,144,130,2912
4003,117755,70626,4852,1913,36193
4005,116320,67088,1301,882,12692
4007,51335,35422,117,185,8450
4009,33489,18470,672,180,8990
4011,8547,4558,31,4,3702
4012,19715,12561,142,73,4426
4013,3072149,2033420,106204,64757,763333
4015,155032,130287,753,842,16999
4017,97470,41120,839,156,7808
4019,843746,517982,23047,16375,247861
4021,179727,105665,4684,928,53782
4023,38381,6626,44,296,31041
4025,167517,144984,421,843,16300
4027,160026,71130,2932,1292,80828
5001,20749,15550,4897,55,75
5003,24209,16631,6389,71,781
5005,38386,37285,9,149,409
5007,153406,132967,718,1483,13214
5009,33948,32838,33,40,430
5011,12600,7865,3610,5,1026
5013,5744,4232,1382,0,71
5015,25357,22204,16,34,2623
5017,14117,5994,7548,95,395
5019,23546,17337,5266,102,523
5021,17609,17252,9,27,92
5023,24046,23414,66,40,311
5025,8571,7232,1115,48,115
5027,25603,15758,9335,29,231
5029,20336,16886,2659,44,413
5031,82148,72604,6352,517,1520
5033,53247,48425,404,620,1650
5035,50866,25639,23604,233,825
5037,19526,14505,4567,50,290
5039,9210,5215,3804,0,163
5041,15341,7634,7062,121,350
5043,18723,13096,4985,46,413
5045,86014,75068,7227,511,1597
5047,17771,16749,161,95,283
5049,11642,11365,8,18,53
5051,88068,76869,6921,296,2082
5053,16464,15697,382,25,140
5055,37331,36110,115,28,337
5057,23587,14071,6965,98,1968
5059,30353,26320,2926,41,506
5061,14300,10250,3141,53,652
5063,34233,32276,747,235,371
5065,13249,12680,186,18,108
5067,18418,14753,3255,39,160
5069,84278,40415,41554,410,878
5071,22781,20541,287,37,1446
5073,8559,5257,3124,26,79
5075,17774,17274,95,46,78
5077,12580,5067,6991,3,455
5079,14492,9366,4713,31,273
5081,13628,9993,2786,50,259
5083,22486,21464,292,57,189
5085,52828,47577,3456,217,791
5087,14243,13433,17,17,400
5089,16140,15623,5,60,87
5091,40443,29674,9076,177,611
5093,51979,33164,17048,81,1096
5095,10254,6017,4039,2,102
5097,9245,8820,0,15,267
5099,9955,6640,3069,0,163
5101,8608,8258,12,11,91
5103,28790,17131,11063,71,286
5105,10209,9637,149,34,158
5107,26445,10226,15487,184,336
5109,11303,10381,430,38,357
5111,25614,23078,1793,23,380
5113,20229,18854,14,48,679
5115,54469,50605,1230,292,1131
5117,9539,8054,1217,12,190
5119,361474,227495,114581,4283,8936
5121,18195,17553,102,11,118
5123,29329,13216,14344,113,1443
5125,83529,78835,1911,454,939
5127,10996,9970,20,46,589
5129,8261,8023,3,30,49
5131,115071,92077,7023,3581,7455
5133,15757,11429,811,10,3039
5135,17119,16499,56,28,145
5137,11499,11156,11,6,123
5139,45629,29933,14519,179,515
5141,16192,15492,25,44,215
5143,157715,133340,3295,2599,13109
5145,67165,62154,2642,196,1168
5147,8741,5932,2667,4,53
5149,21139,17641,164,148,2721
6001,1443741,589243,208559,291493,273887
6003,1208,870,0,2,76
6005,35100,28935,1185,303,3104
6007,203171,162142,2506,6500,21377
6009,40554,35528,161,282,2732
6011,18804,8939,65,266,8831
6013,948816,547837,85496,102065,168059
6015,27507,19272,1154,602,3708
6017,156299,132617,947,3010,14418
6019,799407,316488,39659,62579,352205
6021,26453,16397,160,848,7785
6023,126518,103584,914,1805,7750
6025,142361,28489,4882,2578,103086
6027,17945,13300,14,222,2247
6029,661645,326523,37040,20950,254059
6031,129461,53689,10183,3701,56487
6033,58309,47015,1202,529,6474
6035,33828,23935,2952,132,4557
6037,9519338,2946145,891194,1123964,4243487
6039,123109,57641,4552,1481,54483
6041,247289,194008,7009,10856,27441
6043,17130,14483,103,109,1282
6045,86265,64482,521,816,14001
6047,210554,84807,7299,14209,95610
6049,9449,7608,39,33,989
6051,12853,9801,36,153,2248
6053,401762,161630,14089,23412,188388
6055,124279,85597,1509,3903,29348
6057,92033,82925,197,575,5177
6059,2846289,1455470,40153,383977,876451
6061,248399,207124,1872,7171,23796
6063,20824,18493,148,101,1095
6065,1545387,787318,92186,53231,559328
6067,1223499,705922,116166,132908,195613
6069,53234,24338,502,1014,25580
6071,1709434,749224,147488,77205,669902
6073,2813833,1544484,152308,245309,750991
6075,776733,338886,57819,238597,109565
6077,563598,265960,35321,63201,172027
6079,246681,187597,4273,6726,40114
6081,707161,351542,23312,140850,154392
6083,399347,226841,8272,14936,136737
6085,1682585,741000,42454,427130,404012
