fips,white,black,asian,latino
1001,41663,10113,444,1416
1003,165950,18406,1325,8712
1005,12212,12745,118,1147
1007,16876,4788,14,502
1009,50582,899,92,5036
1011,2288,7967,84,13
1013,10704,8825,203,253
1015,84592,23561,1079,3982
1017,19303,13770,312,148
1019,23792,1193,86,405
1021,35321,4386,191,3341
1023,7468,5611,6,74
1025,13213,11304,114,43
1027,10822,1988,0,419
1029,13911,354,86,349
1031,36393,8671,623,3344
1033,42878,8509,231,1306
1035,6440,5868,14,224
1037,7064,3516,0,140
1039,31509,4896,176,578
1041,9848,3290,232,234
1043,75188,843,497,3426
1045,34820,9625,508,2921
1047,11628,28790,163,397
1049,57470,1048,214,9942
1051,59656,17092,457,2268
1053,22950,12245,40,780
1055,81069,15799,699,3752
1057,14304,2054,45,144
1059,24650,1282,102,5057
1061,22499,2522,103,992
1063,1472,6971,14,53
1065,6059,8835,16,183
1067,11784,4793,0,435
1069,70077,27401,853,3311
1071,47080,1733,196,1435
1073,333970,279059,9909,24316
1075,12116,1584,0,201
1077,78737,9045,629,2217
1079,25629,3800,31,691
1081,104480,35541,5469,5681
1083,69892,11440,1113,5135
1085,2578,7886,0,50
1087,3036,16049,44,324
1089,228991,83934,8528,16362
1091,9120,10587,43,190
1093,27834,982,98,726
1095,77841,1976,556,12210
1097,239671,145837,8053,10957
1099,12013,9321,50,136
1101,81730,128907,5082,7530
1103,91602,14410,802,9339
1105,2920,6760,18,94
1107,10994,8372,12,486
1109,18822,12451,704,730
1111,17060,4339,51,661
1113,28565,24639,398,2974
1115,74718,8099,691,1961
1117,162487,23815,4088,11861
1119,3265,9520,375,39
1121,51487,25979,422,1752
1123,28291,11069,208,988
1125,127514,62688,3033,6666
1127,58748,3711,302,1483
1129,11001,4189,110,219
1131,3050,8000,0,62
1133,22638,98,84,700
2013,492,218,972,331
2016,1488,311,2059,790
2020,179128,15902,26350,26091
2050,1864,135,161,359
2060,500,3,11,46
2068,1812,21,72,17
2070,838,12,108,147
2090,71633,3982,2888,7486
2100,1944,1,85,41
2105,1018,73,48,105
2110,21356,364,2110,2048
2122,46917,323,761,2214
2130,8858,68,1037,634
2150,7067,16,3044,1211
2158,298,28,31,107
2164,286,11,40,29
2170,79313,971,1311,4463
2180,1510,75,127,212
2185,3056,46,572,371
2188,862,25,61,163
2195,2142,75,142,331
2198,2877,13,69,221
2220,5544,195,605,556
2230,775,5,76,64
2240,5255,88,124,353
2261,6679,12,353,444
2275,1594,7,83,72
2282,279,7,38,18
2290,1190,21,41,107
4001,13436,352,259,4303
4003,72163,4761,2219,44097
4005,75410,1854,2315,18930
4007,33621,294,404,9864
4009,19313,680,265,12046
4011,4407,164,51,4290
4012,11956,77,141,5316
4013,2327125,204984,153811,1238292
4015,159345,1938,2339,31987
4017,45369,728,659,11957
4019,534494,32104,26022,362265
4021,230156,17231,6598,116072
4023,7110,93,357,38736
4025,177403,1133,1747,30722
4027,66568,3652,2333,125972
5001,13071,4783,1,556
5003,14270,5440,0,1080
5005,39042,101,227,836
5007,183280,3502,8632,39405
5009,35190,127,191,859
5011,6266,3223,0,1573
5013,3796,1140,11,198
5015,22453,141,245,4021
5017,4379,6067,46,578
5019,15736,5348,174,1013
5021,14596,76,26,275
5023,24308,143,147,615
5025,7132,885,9,189
5027,14312,8383,256,619
5029,17225,2484,11,790
5031,80214,14233,1222,4856
5033,52938,825,1081,4328
5035,21613,25033,324,1151
5037,12686,4020,52,322
5039,4128,3153,138,229
5041,5617,5827,14,642
5043,12540,5369,23,551
5045,97912,13406,1489,4754
5047,16489,161,64,501
5049,11657,9,18,158
5051,80533,7927,691,5064
5053,16809,783,33,168
5055,41229,411,52,1144
5057,12299,6712,1,2782
5059,27741,3770,85,1093
5061,8822,2839,21,1538
5063,33066,722,318,2221
5065,12871,166,21,254
5067,13540,2983,25,469
5069,28877,40590,579,1369
5071,21108,396,363,3474
5073,4228,2758,31,71
5075,16237,122,14,209
5077,3978,5614,6,144
5079,9001,4298,0,501
5081,9226,2644,0,404
5083,20039,381,479,593
5085,61916,4201,530,2895
5087,14271,7,66,827
5089,15562,59,54,344
5091,30419,10892,57,1266
5093,26133,15368,91,1725
5095,4122,3081,31,181
5097,8318,53,67,355
